Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|34|66||Syracuse
Nov 9, 2018|L|47|81||Oregon
Nov 16, 2018|L|78 |82|OT|Green Bay
Nov 17, 2018|W|87|80 |OT|UMKC
Nov 27, 2018|L|59|83||Washington
Dec 1, 2018|L|68|88||Seattle
Dec 8, 2018|L|67|74||N. Dakota St.
Dec 13, 2018|L|63|85||San Fran.
Dec 15, 2018|L|62|78||Stanford
Dec 18, 2018|L|64|74||S. Dak. St.
Dec 21, 2018|W|92|73||Corban
Dec 29, 2018|L|72|84||Weber St.
Dec 31, 2018|W|65|55||Idaho St.
Jan 3, 2019|L|71|74||Idaho
Jan 7, 2019|L|63|75||N. Colorado
Jan 10, 2019|W|78|71||Montana
Jan 19, 2019|W|85|81||Montana St.
Jan 24, 2019|L|65|78||Portland St.
Jan 26, 2019|W|94|92 |OT|Sacramento St.
Feb 2, 2019|W|82|79||So. Utah
Feb 4, 2019|W|82|64||N. Arizona
Feb 7, 2019|L|66|74||Montana St.
Feb 9, 2019|L|74|75||Montana
Feb 16, 2019|W|88|78 |OT|N. Colorado

Total Points For:|1706
Total Points Against:|1844
Average Points For:|71.0833333333
Average Points Against:|76.8333333333
Average Point Difference:|-5.75

Win Percentage:|37.5
