Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|65|50||Jacksonville
Nov 10, 2018|W|62|55||Tuskegee
Nov 16, 2018|L|59|66||Campbell
Nov 18, 2018|L|75|89||CCSU
Nov 21, 2018|L|59|69||South Florida
Nov 24, 2018|L|63|71||LMU
Nov 29, 2018|L|62|81||North Florida
Dec 1, 2018|L|57|66||South Alabama
Dec 3, 2018|L|50|65||DePaul
Dec 6, 2018|W|80|58||Fort Valley St.
Dec 9, 2018|L|40|73||Georgia Tech
Dec 17, 2018|L|64|93||Utah
Dec 18, 2018|L|64|71||Oregon
Dec 21, 2018|L|39|54||Portland
Dec 29, 2018|L|65|96||Memphis
Jan 5, 2019|W|82|72||Howard
Jan 7, 2019|L|62|72||Norfolk St.
Jan 12, 2019|W|69|64||Savannah St.
Jan 19, 2019|L|58 |60|OT|Md.-E. Shore
Jan 21, 2019|W|60|47||Delaware St.
Jan 26, 2019|W|72|70||Coppin St.
Jan 28, 2019|W|72|66||Morgan St.
Feb 2, 2019|W|63|39||NC A&amp;T
Feb 4, 2019|W|73|57||NC Central
Feb 9, 2019|L|66|70||Howard
Feb 11, 2019|L|54|66||Norfolk St.
Feb 16, 2019|W|78|74||Savannah St.

Total Points For:|1713
Total Points Against:|1814
Average Points For:|63.4444444444
Average Points Against:|67.1851851852
Average Point Difference:|-3.74074074074

Win Percentage:|40.7407407407
