Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|L|55|90||Rutgers
Nov 14, 2018|W|87|48||Queens Coll.
Nov 16, 2018|W|84|57||NYIT
Nov 21, 2018|W|77|66||Princeton
Nov 25, 2018|L|76|80||Lafayette
Nov 27, 2018|L|59|69||Providence
Dec 1, 2018|L|49|67||Holy Cross
Dec 12, 2018|W|93|84||Army
Dec 15, 2018|L|80|90||N.J. Tech
Dec 19, 2018|W|83|74||St. Peter&#039;s
Dec 21, 2018|L|84|85||Massachusetts
Dec 29, 2018|L|54|60||South Florida
Jan 3, 2019|L|62|69||Robert Morris
Jan 5, 2019|W|79|61||St. Fran.-Pa.
Jan 10, 2019|L|96 |103|OT|CCSU
Jan 12, 2019|L|60|66||Wagner
Jan 19, 2019|L|77|79||LIU-Brooklyn
Jan 21, 2019|W|87|69||Mt St Mary&#039;s
Jan 24, 2019|W|60|58||St. Fran.-NY
Jan 26, 2019|W|78|63||Bryant
Jan 31, 2019|W|80|77||LIU-Brooklyn
Feb 2, 2019|W|97|94 |OT|Robert Morris
Feb 7, 2019|L|63|69||Sacred Heart
Feb 9, 2019|W|84|73||St. Fran.-NY
Feb 14, 2019|L|62|87||St. Fran.-Pa.
Feb 16, 2019|W|97|84||Bryant

Total Points For:|1963
Total Points Against:|1922
Average Points For:|75.5
Average Points Against:|73.9230769231
Average Point Difference:|1.57692307692

Win Percentage:|50.0
