Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|110|84||
Nov 9, 2018|W|117|47||Johnson and Wales
Nov 13, 2018|W|86|83||Milwaukee
Nov 16, 2018|L|77|83||Fordham
Nov 17, 2018|W|98|87||Columbia
Nov 18, 2018|W|102|93||Youngstown St.
Nov 23, 2018|W|104|84||
Nov 28, 2018|W|81|80||FGCU
Dec 1, 2018|L|89|121||Arkansas
Dec 13, 2018|W|102|89||North Florida
Dec 18, 2018|L|73|82||South Florida
Dec 20, 2018|W|108|67||
Dec 30, 2018|L|66|68||Ohio
Jan 3, 2019|W|83|76||Middle Tenn.
Jan 5, 2019|L|65|84||UAB
Jan 10, 2019|W|69|66||Charlotte
Jan 12, 2019|L|74|75||Old Dominion
Jan 17, 2019|W|77|76||W. Kentucky
Jan 19, 2019|L|97|105||Marshall
Jan 23, 2019|W|78|74||FAU
Jan 26, 2019|L|72|89||FAU
Jan 31, 2019|L|73|89||So. Miss
Feb 2, 2019|W|75|69||Louisiana Tech
Feb 7, 2019|L|67|100||UT-San Antonio
Feb 9, 2019|L|75|85||UTEP
Feb 14, 2019|W|86|65||Rice
Feb 16, 2019|W|69|59||North Texas

Total Points For:|2273
Total Points Against:|2180
Average Points For:|84.1851851852
Average Points Against:|80.7407407407
Average Point Difference:|3.44444444444

Win Percentage:|59.2592592593
