Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|60|81||Florida St.
Nov 9, 2018|W|76|46||Charleston So.
Nov 14, 2018|W|82|69||La Salle
Nov 21, 2018|L|60|65||Oklahoma
Nov 22, 2018|W|72|49||Stanford
Nov 23, 2018|L|54|61||Butler
Nov 27, 2018|W|98|66||North Florida
Dec 4, 2018|W|66|56||West Virginia
Dec 8, 2018|L|59|63||Michigan St.
Dec 18, 2018|W|71|63||Mercer
Dec 22, 2018|W|77|56||FGCU
Dec 29, 2018|W|77|43||Butler
Jan 5, 2019|L|69|71||South Carolina
Jan 9, 2019|W|57|51||Arkansas
Jan 12, 2019|L|67|78||Tennessee
Jan 15, 2019|L|68|71||Miss. State
Jan 19, 2019|W|62|52||Georgia
Jan 22, 2019|W|81|72||Texas A&amp;M
Jan 26, 2019|L|50|55||TCU
Jan 30, 2019|W|90|86 |OT|Ole Miss
Feb 2, 2019|L|54|65||Kentucky
Feb 5, 2019|L|62|76||Auburn
Feb 9, 2019|L|61|73||Tennessee
Feb 13, 2019|W|66|57||Vanderbilt
Feb 16, 2019|W|71|53||Alabama

Total Points For:|1710
Total Points Against:|1578
Average Points For:|68.4
Average Points Against:|63.12
Average Point Difference:|5.28

Win Percentage:|56.0
