Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|106|58||
Nov 10, 2018|L|72|75||Houston Bap.
Nov 16, 2018|W|83|77||FIU
Nov 17, 2018|W|67|61||Youngstown St.
Nov 18, 2018|W|70|69||Columbia
Nov 25, 2018|W|77|46||Alabama A&amp;M
Dec 1, 2018|W|57|56||Manhattan
Dec 4, 2018|L|68 |75|OT|Maine
Dec 8, 2018|W|78|70||Rutgers
Dec 11, 2018|L|50|53||N.J. Tech
Dec 16, 2018|W|74|67||Howard
Dec 20, 2018|W|75|48||James Madison
Dec 30, 2018|L|57|60||LIU-Brooklyn
Jan 5, 2019|L|51|76||VCU
Jan 9, 2019|L|61|66||Duquesne
Jan 12, 2019|L|64|71||St. Bona.
Jan 15, 2019|L|60|63||Saint Louis
Jan 19, 2019|L|68|71||George Mason
Jan 23, 2019|L|71|73||La Salle
Jan 26, 2019|L|52|75||Dayton
Jan 30, 2019|L|61|79||George Wash.
Feb 6, 2019|W|85|67||Massachusetts
Feb 9, 2019|L|66|74||Duquesne
Feb 12, 2019|L|69|79||Davidson
Feb 16, 2019|W|66|63 |OT|Rhode Island

Total Points For:|1708
Total Points Against:|1672
Average Points For:|68.32
Average Points Against:|66.88
Average Point Difference:|1.44

Win Percentage:|44.0
