Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|91|63||AK-Anchorage
Nov 15, 2018|L|69|77||TCU
Nov 22, 2018|W|78|59||Northwestern
Nov 23, 2018|L|76|78||Miami (Fla.)
Nov 25, 2018|W|79|64||Hawaii
Nov 28, 2018|W|81|78 |OT|Pacific
Dec 1, 2018|W|76|67||Cal Poly
Dec 5, 2018|W|71|52||Weber St.
Dec 8, 2018|W|92|71||LBSU
Dec 19, 2018|W|95|73||California
Dec 22, 2018|W|93|53||UT Martin
Dec 29, 2018|L|60|64||Utah Valley
Jan 2, 2019|W|73|53||San Jose St.
Jan 5, 2019|W|78|67||Colorado St.
Jan 9, 2019|W|78|77||Utah St.
Jan 12, 2019|L|64|74||Nevada
Jan 19, 2019|W|63|53||Boise St.
Jan 22, 2019|W|66|62||San Diego St
Jan 26, 2019|L|65|74||Colorado St.
Jan 30, 2019|W|75|62||Wyoming
Feb 2, 2019|W|82|70||New Mexico
Feb 5, 2019|L|81|82||Utah St.
Feb 9, 2019|W|83|65||UNLV
Feb 13, 2019|W|65|63||Boise St.
Feb 16, 2019|W|81|73||New Mexico

Total Points For:|1915
Total Points Against:|1674
Average Points For:|76.6
Average Points Against:|66.96
Average Point Difference:|9.64

Win Percentage:|76.0
