Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|81|60||Florida
Nov 11, 2018|W|80|69||Tulane
Nov 19, 2018|W|93|61||Canisius
Nov 22, 2018|W|81|63||UAB
Nov 23, 2018|W|79|76 |OT|LSU
Nov 25, 2018|L|60|66||Villanova
Nov 28, 2018|W|73|72||Purdue
Dec 3, 2018|W|83|67||Troy
Dec 8, 2018|W|79|71||Connecticut
Dec 17, 2018|W|85|68||SE Missouri St.
Dec 19, 2018|W|95|81||North Florida
Dec 22, 2018|W|81|59||Saint Louis
Jan 1, 2019|W|87|76||Winthrop
Jan 5, 2019|L|52|65||Virginia
Jan 9, 2019|W|68|62||Miami (Fla.)
Jan 12, 2019|L|78|80||Duke
Jan 14, 2019|L|62|75||Pittsburgh
Jan 20, 2019|L|82|87||Boston College
Jan 22, 2019|W|77|68||Clemson
Jan 27, 2019|W|78|66||Miami (Fla.)
Feb 2, 2019|W|59|49||Georgia Tech
Feb 5, 2019|W|80|62||Syracuse
Feb 9, 2019|W|80|75 |OT|Louisville
Feb 13, 2019|W|88|66||Wake Forest
Feb 16, 2019|W|69|47||Georgia Tech

Total Points For:|1930
Total Points Against:|1691
Average Points For:|77.2
Average Points Against:|67.64
Average Point Difference:|9.56

Win Percentage:|80.0
