Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|102|48||Bob Jones U
Nov 9, 2018|W|60|58||Loyola-Chi.
Nov 13, 2018|W|88|86 |OT|Gardner-Webb
Nov 15, 2018|W|107|67||
Nov 17, 2018|W|76|68 |OT|Villanova
Nov 21, 2018|W|74|57||
Nov 25, 2018|W|65|51||UNC-Ash.
Dec 1, 2018|W|90|88 |OT|W. Carolina
Dec 4, 2018|W|98|77||Elon
Dec 8, 2018|W|74|60||SC Upstate
Dec 11, 2018|W|77|69||Charleston So.
Dec 15, 2018|W|93|50||UNC-Wilm.
Dec 21, 2018|L|57|75||LSU
Dec 29, 2018|L|56|79||ETSU
Jan 3, 2019|W|71|58||Mercer
Jan 5, 2019|W|101|85||The Citadel
Jan 10, 2019|W|89|57||VMI
Jan 12, 2019|L|79|89||UNC-Green.
Jan 19, 2019|L|54|59||Wofford
Jan 24, 2019|W|73|58||Chattanooga
Jan 26, 2019|L|73|75||Samford
Jan 31, 2019|W|71|61||The Citadel
Feb 2, 2019|W|74|63||Mercer
Feb 7, 2019|W|64|45||W. Carolina
Feb 9, 2019|W|91|61||ETSU
Feb 14, 2019|W|67|57||UNC-Green.
Feb 16, 2019|W|96|62||VMI

Total Points For:|2120
Total Points Against:|1763
Average Points For:|78.5185185185
Average Points Against:|65.2962962963
Average Point Difference:|13.2222222222

Win Percentage:|81.4814814815
