Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|139|51||
Nov 13, 2018|W|98|89||George Mason
Nov 16, 2018|W|80|70||FAU
Nov 17, 2018|W|88|78||Pepperdine
Nov 18, 2018|W|80|77||Montana
Nov 27, 2018|L|64|69||ETSU
Nov 29, 2018|L|70|100||Arizona
Dec 8, 2018|W|89|74||Mercer
Dec 11, 2018|L|88|95||UCF
Dec 14, 2018|W|101|64||
Dec 18, 2018|W|79|74 |OT|Bradley
Dec 21, 2018|L|68|80||Radford
Dec 29, 2018|L|90|94||Dayton
Jan 3, 2019|L|70|73||Texas St.
Jan 5, 2019|W|77|64||UT-Arlington
Jan 10, 2019|W|79|78||UL-Monroe
Jan 12, 2019|L|85|87||Louisiana
Jan 17, 2019|W|90|82||Troy
Jan 19, 2019|W|88|86 |OT|South Alabama
Jan 24, 2019|L|67|72||UT-Arlington
Jan 26, 2019|W|74|58||Texas St.
Feb 2, 2019|L|72|81||Georgia St.
Feb 6, 2019|W|103|86||Louisiana
Feb 8, 2019|L|79|88||UL-Monroe
Feb 13, 2019|W|75|65||South Alabama
Feb 15, 2019|W|76|51||Troy

Total Points For:|2169
Total Points Against:|1986
Average Points For:|83.4230769231
Average Points Against:|76.3846153846
Average Point Difference:|7.03846153846

Win Percentage:|61.5384615385
