Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|74|68||ETSU
Nov 9, 2018|L|74|81||Montana
Nov 13, 2018|W|62|60||Mercer
Nov 19, 2018|W|75|65||St. Bona.
Nov 20, 2018|L|68|93||Creighton
Nov 21, 2018|W|91|67||Georgia
Nov 28, 2018|W|80|76||Tulane
Dec 1, 2018|L|52|78||Liberty
Dec 4, 2018|W|83|80||Alabama
Dec 12, 2018|W|95|88||Chattanooga
Dec 15, 2018|L|59|71||Kansas St.
Dec 19, 2018|W|86|71||UNC-Wilm.
Dec 29, 2018|W|117|69||Mid Ga St Coll
Jan 3, 2019|W|63|58||UT-Arlington
Jan 5, 2019|W|73|69||Texas St.
Jan 10, 2019|W|89|76||Louisiana
Jan 12, 2019|W|74|73||UL-Monroe
Jan 17, 2019|W|69|66||South Alabama
Jan 19, 2019|L|75|77||Troy
Jan 24, 2019|L|68|81||Texas St.
Jan 26, 2019|W|77|71||UT-Arlington
Feb 2, 2019|W|81|72||Ga. Southern
Feb 6, 2019|L|76|82||UL-Monroe
Feb 8, 2019|L|72|76||Louisiana
Feb 13, 2019|W|77|63||Troy
Feb 15, 2019|W|90|81||South Alabama

Total Points For:|2000
Total Points Against:|1912
Average Points For:|76.9230769231
Average Points Against:|73.5384615385
Average Point Difference:|3.38461538462

Win Percentage:|69.2307692308
