Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|88|69||Lamar
Nov 13, 2018|L|53|66||Tennessee
Nov 16, 2018|W|79|54||East Carolina
Nov 21, 2018|W|72|44||UT-Rio Grande Valley
Nov 23, 2018|W|65|54||Prairie View
Nov 28, 2018|L|61|67||Northwestern
Dec 1, 2018|L|73|76||St. John&#039;s
Dec 9, 2018|W|73|40||Florida A&amp;M
Dec 17, 2018|L|69|79||Gardner-Webb
Dec 19, 2018|W|69|65||Arkansas
Dec 22, 2018|L|59|70||Georgia
Dec 28, 2018|W|87|57||Kennesaw St.
Jan 2, 2019|W|79|63||SC Upstate
Jan 5, 2019|W|92|79||Wake Forest
Jan 9, 2019|L|49|52||Virginia Tech
Jan 12, 2019|W|73|59||Syracuse
Jan 16, 2019|L|60|72||Clemson
Jan 19, 2019|L|51|79||Louisville
Jan 22, 2019|W|63|61||Notre Dame
Jan 26, 2019|L|53|66||Duke
Jan 29, 2019|L|54|77||North Carolina
Feb 2, 2019|L|49|59||Florida St.
Feb 6, 2019|L|42|65||Clemson
Feb 10, 2019|L|59|69||Notre Dame
Feb 13, 2019|L|68|76||Virginia Tech
Feb 16, 2019|L|47|69||Florida St.

Total Points For:|1687
Total Points Against:|1687
Average Points For:|64.8846153846
Average Points Against:|64.8846153846
Average Point Difference:|0.0

Win Percentage:|42.3076923077
