Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|74|79||S. Dak. St.
Nov 10, 2018|W|89|47||Delaware St.
Nov 12, 2018|W|76|59||Jacksonville
Nov 16, 2018|W|96|72||Arkansas St.
Nov 22, 2018|L|75|82||Seton Hall
Nov 23, 2018|L|66|75||Utah
Nov 25, 2018|W|82|70||La Salle
Dec 1, 2018|W|69|67||Boise St.
Dec 9, 2018|L|66|74||Nevada
Dec 15, 2018|L|60|98||Texas
Dec 19, 2018|W|73|62||Northern Iowa
Dec 22, 2018|W|85|64||Miss Valley St.
Dec 29, 2018|L|58|61||San Diego
Jan 3, 2019|W|71|60||Utah Valley
Jan 5, 2019|W|71|57||Seattle
Jan 10, 2019|L|75|77||N. Mex. St.
Jan 12, 2019|W|69|65||UT-Rio Grande Valley
Jan 17, 2019|W|80|46||Chicago St.
Jan 19, 2019|W|78|50||UMKC
Jan 26, 2019|W|90|73||Cal Baptist
Feb 2, 2019|W|72|59||Cal-Baker.
Feb 7, 2019|L|69|72||UT-Rio Grande Valley
Feb 9, 2019|L|64|67||N. Mex. St.
Feb 14, 2019|L|75 |87|OT|UMKC
Feb 16, 2019|W|90|59||Chicago St.

Total Points For:|1873
Total Points Against:|1682
Average Points For:|74.92
Average Points Against:|67.28
Average Point Difference:|7.64

Win Percentage:|60.0
