Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|71|72||Penn
Nov 9, 2018|L|75 |78|OT|American
Nov 13, 2018|L|89|98||Ga. Southern
Nov 17, 2018|W|69|65||Southern U.
Nov 20, 2018|W|78|63||NC Central
Nov 23, 2018|L|55|71||Cincinnati
Nov 24, 2018|L|61|72||Baylor
Nov 28, 2018|W|82|75||Morgan St.
Dec 1, 2018|W|87|84||William &amp; Mary
Dec 3, 2018|L|67|72||Vermont
Dec 7, 2018|W|66|53||James Madison
Dec 21, 2018|W|84|63||Navy
Dec 29, 2018|L|58|59||Kansas St.
Jan 3, 2019|W|85|60||Saint Joseph&#039;s
Jan 6, 2019|W|68|53||St. Bona.
Jan 9, 2019|L|56|61||Davidson
Jan 13, 2019|W|84|67||Rhode Island
Jan 16, 2019|W|68|63||Massachusetts
Jan 19, 2019|W|71|68||Fordham
Jan 23, 2019|W|67|63||Dayton
Jan 26, 2019|W|62|55||George Wash.
Feb 2, 2019|L|63|79||VCU
Feb 6, 2019|L|67|81||Richmond
Feb 10, 2019|W|84|76||La Salle
Feb 13, 2019|W|80|75 |OT|Massachusetts
Feb 17, 2019|L|56|79||St. Bona.

Total Points For:|1853
Total Points Against:|1805
Average Points For:|71.2692307692
Average Points Against:|69.4230769231
Average Point Difference:|1.84615384615

Win Percentage:|57.6923076923
