Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|120|79||Idaho St.
Nov 10, 2018|W|104|67||Texas So.
Nov 15, 2018|W|94|71||Texas A&amp;M
Nov 19, 2018|W|84|78||Illinois
Nov 20, 2018|W|91|74||Arizona
Nov 21, 2018|W|89|87||Duke
Nov 26, 2018|W|102|60||N. Dakota St.
Dec 1, 2018|W|103|92||Creighton
Dec 5, 2018|W|81|79||Washington
Dec 9, 2018|L|73|76||Tennessee
Dec 15, 2018|L|90|103||North Carolina
Dec 18, 2018|W|89|55||UT-Arlington
Dec 21, 2018|W|101|40||Denver
Dec 28, 2018|W|96|51||N. Alabama
Dec 31, 2018|W|89|54||Cal-Baker.
Jan 5, 2019|W|91|48||Santa Clara
Jan 10, 2019|W|67|36||Pacific
Jan 12, 2019|W|96|83||San Fran.
Jan 17, 2019|W|73|55||LMU
Jan 19, 2019|W|89|66||Portland
Jan 24, 2019|W|98|39||Santa Clara
Jan 31, 2019|W|93|63||BYU
Feb 2, 2019|W|85|69||San Diego
Feb 7, 2019|W|92|62||San Fran.
Feb 9, 2019|W|94|46||Saint Mary&#039;s
Feb 14, 2019|W|73|60||LMU
Feb 16, 2019|W|79|67||San Diego

Total Points For:|2436
Total Points Against:|1760
Average Points For:|90.2222222222
Average Points Against:|65.1851851852
Average Point Difference:|25.037037037

Win Percentage:|92.5925925926
