Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|105|68||Jarvis Chr.
Nov 14, 2018|L|78|86||Wyoming
Nov 16, 2018|L|64|80||Loyola-Chi.
Nov 20, 2018|W|99|58||
Nov 23, 2018|W|74|68||Niagara
Nov 24, 2018|L|69|80||IUPUI
Dec 1, 2018|L|57|78||LSU
Dec 4, 2018|W|81|57||Centenary
Dec 8, 2018|L|45|70||UCF
Dec 11, 2018|L|67|72||UL-Monroe
Dec 15, 2018|W|70|58||Portland
Dec 19, 2018|W|69|68||SE Louisiana
Dec 22, 2018|L|53|84||Wisconsin
Jan 5, 2019|L|53|74||Alabama St.
Jan 7, 2019|L|60 |65|OT|Alabama A&amp;M
Jan 12, 2019|W|69|63||Southern U.
Jan 14, 2019|W|77|42||Alcorn St.
Jan 19, 2019|W|88|87 |OT|Texas So.
Jan 21, 2019|L|66|83||Prairie View
Jan 26, 2019|L|63|65||Jackson St.
Feb 2, 2019|W|79|55||Ark.-Pine Bluff
Feb 4, 2019|W|79|57||Miss Valley St.
Feb 9, 2019|W|59|40||Southern U.
Feb 11, 2019|W|65|53||Alcorn St.
Feb 16, 2019|L|85|86||Texas So.

Total Points For:|1774
Total Points Against:|1697
Average Points For:|70.96
Average Points Against:|67.88
Average Point Difference:|3.08

Win Percentage:|52.0
