Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|68|53||Md.-E. Shore
Nov 10, 2018|W|85|78||CCSU
Nov 13, 2018|W|88|80||Illinois
Nov 16, 2018|L|52|65||LMU
Nov 18, 2018|W|76|73 |OT|South Florida
Nov 24, 2018|W|93|85||Campbell
Nov 28, 2018|W|90|82||Richmond
Dec 3, 2018|W|88|78||Liberty
Dec 8, 2018|L|71|72||Syracuse
Dec 15, 2018|L|73|81||SMU
Dec 18, 2018|W|83|73||App. St.
Dec 22, 2018|W|102|94 |OT|Little Rock
Dec 29, 2018|W|102|67||Howard
Jan 2, 2019|W|84|76||Butler
Jan 5, 2019|L|94 |97|OT|St. John&#039;s
Jan 9, 2019|L|75|81||Xavier
Jan 12, 2019|W|96|90 |OT|Providence
Jan 15, 2019|L|71|74||Marquette
Jan 21, 2019|L|87|91||Creighton
Jan 27, 2019|W|89|78||St. John&#039;s
Jan 31, 2019|W|80|73||Xavier
Feb 3, 2019|L|65|77||Villanova
Feb 6, 2019|W|76|67||Providence
Feb 9, 2019|L|69|73||Butler
Feb 13, 2019|L|75|90||Seton Hall

Total Points For:|2032
Total Points Against:|1948
Average Points For:|81.28
Average Points Against:|77.92
Average Point Difference:|3.36

Win Percentage:|60.0
