Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|110|58||Mid-Atlantic Christian
Nov 9, 2018|L|57|69||VCU
Nov 13, 2018|L|66|80||California
Nov 19, 2018|L|79|81||Bowling Green
Nov 20, 2018|L|66|75||Loyola-Md.
Nov 25, 2018|W|86|66||Richmond
Nov 29, 2018|L|89 |94|OT|Norfolk St.
Dec 1, 2018|W|114|55||Regent
Dec 5, 2018|L|66|75||Coastal Carolina
Dec 8, 2018|L|71|76||William &amp; Mary
Dec 15, 2018|W|72|60||St. Leo
Dec 22, 2018|W|89|82||Howard
Dec 29, 2018|L|80 |83|OT|St. Peter&#039;s
Jan 10, 2019|W|94|82||Charleston So.
Jan 12, 2019|W|83|61||UNC-Ash.
Jan 16, 2019|L|70|85||Presbyterian
Jan 19, 2019|L|74 |87|OT|Gardner-Webb
Jan 24, 2019|W|88|70||SC Upstate
Jan 26, 2019|W|64|58||Campbell
Jan 30, 2019|W|96|83||Longwood
Feb 2, 2019|L|69|85||High Point
Feb 7, 2019|L|98 |101|OT|Radford
Feb 9, 2019|L|91|101||Winthrop
Feb 13, 2019|L|84|87||Campbell
Feb 16, 2019|L|81 |86|OT|High Point

Total Points For:|2037
Total Points Against:|1940
Average Points For:|81.48
Average Points Against:|77.6
Average Point Difference:|3.88

Win Percentage:|40.0
