Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|68|75||CCSU
Nov 9, 2018|L|73|100||Utah St.
Nov 11, 2018|L|59|77||Miss. State
Nov 15, 2018|W|68|54||Quinnipiac
Nov 19, 2018|L|65|72||Utah Valley
Nov 21, 2018|L|75|80||Iona
Nov 24, 2018|W|93|53||
Nov 27, 2018|L|89|98||Sacred Heart
Dec 1, 2018|W|76|63||Bowling Green
Dec 5, 2018|L|54|84||Duke
Dec 12, 2018|W|91|74||Bryant
Dec 16, 2018|W|87|82||Oakland
Dec 22, 2018|L|68|77||Wagner
Dec 29, 2018|W|65|56||Marist
Dec 31, 2018|W|79|78 |OT|Boston College
Jan 9, 2019|W|66|64 |OT|UMBC
Jan 12, 2019|L|62|81||Vermont
Jan 16, 2019|W|77|76||Maine
Jan 19, 2019|L|73|76||UMass Lowell
Jan 23, 2019|W|74|39||New Hamp.
Jan 26, 2019|L|77|84||Albany
Jan 30, 2019|W|86|60||Binghamton
Feb 2, 2019|L|77|86||Stony Brook
Feb 6, 2019|W|70|61||UMBC
Feb 13, 2019|W|81|73||Maine
Feb 16, 2019|L|75|77||Vermont

Total Points For:|1928
Total Points Against:|1900
Average Points For:|74.1538461538
Average Points Against:|73.0769230769
Average Point Difference:|1.07692307692

Win Percentage:|50.0
