Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|78|66||
Nov 9, 2018|L|71|81||Northeastern
Nov 13, 2018|W|74|71||Massachusetts
Nov 16, 2018|L|74|76||Rhode Island
Nov 21, 2018|L|57|61||San Fran.
Nov 24, 2018|W|74|68||Saint Mary&#039;s
Nov 28, 2018|W|73|62||Holy Cross
Dec 1, 2018|L|64|67||Siena
Dec 8, 2018|L|65|71||Vermont
Dec 22, 2018|W|75|61||George Wash.
Dec 29, 2018|W|71|67||Mercer
Jan 2, 2019|L|57|77||North Carolina
Jan 12, 2019|L|63|81||
Jan 21, 2019|W|84|71||Dartmouth
Jan 26, 2019|W|64|59||Howard
Feb 1, 2019|W|65|49||Dartmouth
Feb 2, 2019|W|68|47||Yale
Feb 8, 2019|W|98|96 |OT|Brown
Feb 9, 2019|L|61|67||Columbia
Feb 15, 2019|W|78|69||Cornell
Feb 16, 2019|W|75|68 |OT|Princeton

Total Points For:|1489
Total Points Against:|1435
Average Points For:|70.9047619048
Average Points Against:|68.3333333333
Average Point Difference:|2.57142857143

Win Percentage:|61.9047619048
