Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|W|82|64||Portland
Nov 11, 2018|W|90|54||Humboldt St.L
Nov 11, 2018|L|51|68||North Texas
Nov 18, 2018|W|85|68||N. Arizona
Nov 22, 2018|W|90|79||Utah
Nov 23, 2018|L|54|64||Seton Hall
Nov 25, 2018|L|64|79||Fresno St.
Nov 28, 2018|L|61|80||UCLA
Dec 9, 2018|W|82|75||Hawaii-Hilo
Dec 16, 2018|W|76|51||Miss Valley St.
Dec 22, 2018|L|59|73||UNLV
Dec 23, 2018|W|70|62 |OT|Colorado
Dec 25, 2018|W|68|60||Rhode Island
Dec 30, 2018|W|71|63||Alabama A&amp;M
Jan 10, 2019|W|79|68||CSFullerton
Jan 17, 2019|W|84|79||CSNorthridge 
Jan 19, 2019|L|71|75||UC Riverside
Jan 24, 2019|L|74 |75|OT|UC Irvine
Jan 27, 2019|W|80|60||UC Davis
Feb 1, 2019|W|74|57||LBSU
Feb 3, 2019|L|54|75||UCSB
Feb 7, 2019|W|77|70||LBSU
Feb 9, 2019|L|56|67||UC Irvine
Feb 15, 2019|W|75|54||Cal Poly
Feb 17, 2019|W|87|64||UC Riverside

Total Points For:|1814
Total Points Against:|1684
Average Points For:|72.56
Average Points Against:|67.36
Average Point Difference:|5.2

Win Percentage:|64.0
