Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|L|69|79||William &amp; Mary
Nov 10, 2018|L|60|68||Wofford
Nov 16, 2018|W|60|56||South Dakota
Nov 17, 2018|L|59|68||UMBC
Nov 19, 2018|W|69|62||Air Force
Nov 24, 2018|W|55|52||East Carolina
Nov 27, 2018|L|87|112||The Citadel
Dec 1, 2018|L|69|70||E. Kentucky
Dec 4, 2018|W|55|53||Valparaiso
Dec 15, 2018|W|86|59||W. Carolina
Dec 17, 2018|W|90|85||
Dec 22, 2018|L|59|74||Richmond
Dec 29, 2018|L|64|82||Ohio St.
Jan 2, 2019|W|101|60||
Jan 5, 2019|W|51|50||Charleston So.
Jan 10, 2019|W|74|58||Presbyterian
Jan 12, 2019|L|63|80||Winthrop
Jan 16, 2019|W|71|54||SC Upstate
Jan 24, 2019|L|51|55||Longwood
Jan 26, 2019|W|65|61||UNC-Ash.
Jan 30, 2019|L|67|69||Gardner-Webb
Feb 2, 2019|W|85|69||Hampton
Feb 7, 2019|W|57|56||Campbell
Feb 9, 2019|L|66 |69|OT|Radford
Feb 13, 2019|L|59|62||Longwood
Feb 16, 2019|W|86|81 |OT|Hampton

Total Points For:|1778
Total Points Against:|1744
Average Points For:|68.3846153846
Average Points Against:|67.0769230769
Average Point Difference:|1.30769230769

Win Percentage:|53.8461538462
