Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|79|61||Mt St Mary&#039;s
Nov 11, 2018|L|72|76||Marshall
Nov 14, 2018|W|92|72||NC A&amp;T
Nov 16, 2018|L|69|80||Maryland
Nov 21, 2018|W|80|71||CSFullerton
Nov 24, 2018|L|67 |69|OT|VCU
Nov 28, 2018|W|94|86||Siena
Dec 1, 2018|W|78|52||Kennesaw St.
Dec 5, 2018|W|75|73||Monmouth
Dec 8, 2018|W|89|73||Rider
Dec 10, 2018|W|80|50||Manhattan
Dec 19, 2018|W|71|64||Stony Brook
Dec 22, 2018|W|107|54||Rosemont College
Dec 28, 2018|W|91|46||Delaware
Dec 30, 2018|W|89|75||Drexel
Jan 5, 2019|W|75|72||Northeastern
Jan 10, 2019|W|93|90 |OT|William &amp; Mary
Jan 12, 2019|W|74|71||Elon
Jan 17, 2019|W|87|72||UNC-Wilm.
Jan 19, 2019|W|86|72||Charleston
Jan 24, 2019|W|85|68||James Madison
Jan 26, 2019|W|84|61||Towson
Feb 2, 2019|L|61|75||Northeastern
Feb 7, 2019|W|102|61||Elon
Feb 9, 2019|W|93|87||William &amp; Mary
Feb 14, 2019|W|99|95||Charleston
Feb 16, 2019|L|79|87||UNC-Wilm.

Total Points For:|2251
Total Points Against:|1913
Average Points For:|83.3703703704
Average Points Against:|70.8518518519
Average Point Difference:|12.5185185185

Win Percentage:|81.4814814815
