Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|93|81||Sacred Heart
Nov 10, 2018|L|37|56||Michigan
Nov 13, 2018|L|61|70||Providence
Nov 16, 2018|W|84|70||Stony Brook
Nov 18, 2018|W|57|45||Siena
Nov 20, 2018|W|69|65 |OT|Albany
Nov 28, 2018|L|62|73||Harvard
Dec 1, 2018|W|67|49||F. Dickinson
Dec 4, 2018|W|82|78||Massachusetts
Dec 8, 2018|L|63|79||Rhode Island
Dec 20, 2018|W|65|63||Canisius
Dec 22, 2018|W|60|57||Siena
Dec 30, 2018|W|78|71||Iona
Jan 3, 2019|W|80|73||Loyola-Md.
Jan 6, 2019|L|48|50||Navy
Jan 9, 2019|L|94 |99|OT|Lehigh
Jan 12, 2019|W|77|70||Lafayette
Jan 14, 2019|L|78|93||Bucknell
Jan 19, 2019|L|65 |67|OT|Loyola-Md.
Jan 23, 2019|L|57|76||Army
Jan 26, 2019|W|69|64||Navy
Jan 30, 2019|L|54|68||Boston U.
Feb 2, 2019|L|49|66||American
Feb 6, 2019|W|56|42||Army
Feb 10, 2019|L|67|69||Lafayette
Feb 13, 2019|L|70|74||Colgate
Feb 16, 2019|W|72|71||Bucknell

Total Points For:|1814
Total Points Against:|1839
Average Points For:|67.1851851852
Average Points Against:|68.1111111111
Average Point Difference:|-0.925925925926

Win Percentage:|51.8518518519
