Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|W|101|54||Alabama A&amp;M
Nov 14, 2018|W|79|68||Rice
Nov 19, 2018|W|82|55||Northwestern St.
Nov 24, 2018|W|76|62||BYU
Nov 28, 2018|W|58|53||UT-Rio Grande Valley
Dec 1, 2018|W|65|61||Oregon
Dec 4, 2018|W|79|56||Lamar
Dec 8, 2018|W|63|53||Oklahoma St.
Dec 12, 2018|W|82|76||LSU
Dec 16, 2018|W|68|64||Saint Louis
Dec 20, 2018|W|60|50||Utah St.
Dec 23, 2018|W|75|44||Coppin St.
Dec 29, 2018|W|80|59||N.J. Tech
Jan 2, 2019|W|74|56||Tulsa
Jan 6, 2019|W|90|77||Memphis
Jan 9, 2019|L|69|73||Temple
Jan 12, 2019|W|79|70||Wichita St.
Jan 16, 2019|W|69|58||SMU
Jan 19, 2019|W|69|60||South Florida
Jan 23, 2019|W|94|50||East Carolina
Jan 27, 2019|W|77|65||Tulsa
Jan 31, 2019|W|73|66||Temple
Feb 7, 2019|W|77|68||UCF
Feb 10, 2019|W|65|58||Cincinnati
Feb 14, 2019|W|71|63||Connecticut
Feb 17, 2019|W|85|50||Tulane
