Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|L|60|90||Arizona
Nov 10, 2018|W|75|72||Fordham
Nov 17, 2018|L|59|96||Wisconsin
Nov 23, 2018|W|93|91 |OT|Wake Forest
Nov 26, 2018|L|82|86||UT-San Antonio
Dec 1, 2018|L|78|85||Louisiana Tech
Dec 8, 2018|L|80|90||Texas St.
Dec 14, 2018|W|107|70||
Dec 17, 2018|L|61|85||Samford
Dec 19, 2018|L|73|80||Miami (Fla.)
Dec 29, 2018|W|143|92||
Jan 2, 2019|W|88|82 |OT|Lamar
Jan 5, 2019|L|76 |81|OT|New Orleans
Jan 12, 2019|L|76|77||Nicholls St.
Jan 16, 2019|L|68|75||Abil Christian
Jan 19, 2019|L|65|71||Sam Houston
Jan 23, 2019|L|67|70||SE Louisiana
Jan 26, 2019|L|73|79||McNeese St.
Jan 30, 2019|W|96|92||Incarnate Word
Feb 2, 2019|W|73|72||Texas A&amp;M-CC
Feb 6, 2019|L|77|79||SF Austin
Feb 13, 2019|W|75|71||Cent. Arkansas
Feb 16, 2019|W|88|82||Nicholls St.

Total Points For:|1833
Total Points Against:|1868
Average Points For:|79.6956521739
Average Points Against:|81.2173913043
Average Point Difference:|-1.52173913043

Win Percentage:|39.1304347826
