Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|114|91||
Nov 11, 2018|W|99|71||
Nov 13, 2018|W|108|51||Regent
Nov 16, 2018|W|68|63||Massachusetts
Nov 19, 2018|L|69|83||S. Illinois
Nov 23, 2018|L|76|97||Little Rock
Nov 24, 2018|W|86|84||Cal Baptist
Dec 4, 2018|L|86|100||App. St.
Dec 8, 2018|W|85|83||American
Dec 14, 2018|L|64|70||George Wash.
Dec 16, 2018|L|67|74||Fordham
Dec 20, 2018|L|71|98||Ball St.
Dec 22, 2018|L|82|89||Hampton
Dec 29, 2018|L|67|102||Georgetown
Jan 5, 2019|L|72|82||Florida A&amp;M
Jan 7, 2019|W|79|39||Md.-E. Shore
Jan 12, 2019|L|63|71||Bethune-Cook.
Jan 15, 2019|L|86 |89|OT|Morgan St.
Jan 19, 2019|W|71|66 |OT|Morgan St.
Jan 21, 2019|L|71|84||SC State
Jan 26, 2019|W|80|74||Harvard
Jan 28, 2019|W|72|57||Delaware St.
Feb 2, 2019|L|78|80||Md.-E. Shore
Feb 9, 2019|W|70|66||Norfolk St.
Feb 11, 2019|W|79|73||Florida A&amp;M
Feb 16, 2019|L|81|85||Bethune-Cook.

Total Points For:|2044
Total Points Against:|2022
Average Points For:|78.6153846154
Average Points Against:|77.7692307692
Average Point Difference:|0.846153846154

Win Percentage:|46.1538461538
