Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|79|120||Gonzaga
Nov 10, 2018|W|72|70||Boise St.
Nov 15, 2018|L|76|83||Pacific
Nov 19, 2018|W|115|60||Bethesda
Nov 26, 2018|L|82|97||Pepperdine
Nov 29, 2018|W|74|66||
Dec 7, 2018|W|68|66||Santa Clara
Dec 19, 2018|L|77|88||Utah Valley
Dec 22, 2018|L|65|84||UCSB
Dec 29, 2018|W|72|55||Idaho
Dec 31, 2018|L|55|65||E. Washington
Jan 3, 2019|W|88|68||So. Utah
Jan 5, 2019|L|69|81||N. Arizona
Jan 12, 2019|W|72|70||Sacramento St.
Jan 17, 2019|L|59|76||Weber St.
Jan 21, 2019|L|53|77||N. Colorado
Jan 24, 2019|L|69|80||Montana
Jan 26, 2019|L|84|104||Montana St.
Jan 31, 2019|L|58|74||Sacramento St.
Feb 2, 2019|W|69|67||Portland St.
Feb 7, 2019|W|81|79||N. Arizona
Feb 9, 2019|L|72|78||So. Utah
Feb 14, 2019|L|76|84||Montana St.
Feb 16, 2019|L|68|80||Montana

Total Points For:|1753
Total Points Against:|1872
Average Points For:|73.0416666667
Average Points Against:|78.0
Average Point Difference:|-4.95833333333

Win Percentage:|37.5
