Date|Win?|Points For|Points Against|OT?|Opponent
Nov 8, 2018|W|99|60||Evansville
Nov 13, 2018|L|80|88||Georgetown
Nov 19, 2018|L|78|84||Gonzaga
Nov 20, 2018|L|68|84||Iowa St.
Nov 21, 2018|L|74|83||Xavier
Nov 25, 2018|W|86|67||Miss Valley St.
Nov 27, 2018|L|74|76||Notre Dame
Dec 2, 2018|L|60|75||Nebraska
Dec 5, 2018|L|67|77||Ohio St.
Dec 8, 2018|W|77|74||UNLV
Dec 15, 2018|W|73|55||ETSU
Dec 22, 2018|L|63|79||Missouri
Dec 29, 2018|L|71 |73|OT|FAU
Jan 3, 2019|L|65|73||Indiana
Jan 6, 2019|L|66|68||Northwestern
Jan 10, 2019|L|69|79||Michigan
Jan 16, 2019|W|95|68||Minnesota
Jan 20, 2019|L|71|95||Iowa
Jan 23, 2019|L|60|72||Wisconsin
Jan 26, 2019|W|78|67||Maryland
Jan 30, 2019|L|75|86||Minnesota
Feb 2, 2019|W|71|64||Nebraska
Feb 5, 2019|W|79|74||Michigan St.
Feb 9, 2019|W|99|94 |OT|Rutgers
Feb 14, 2019|W|63|56||Ohio St.

Total Points For:|1861
Total Points Against:|1871
Average Points For:|74.44
Average Points Against:|74.84
Average Point Difference:|-0.4

Win Percentage:|40.0
