Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|67|84||Notre Dame
Nov 9, 2018|L|78|88||Radford
Nov 12, 2018|L|88 |89|OT|Duquesne
Nov 15, 2018|W|100|95 |OT|William &amp; Mary
Nov 17, 2018|W|71|70||Bradley
Nov 24, 2018|W|94|74||Wisc.-Parkside
Nov 28, 2018|L|75|89||Saint Joseph&#039;s
Dec 1, 2018|L|64|73||Loyola-Chi.
Dec 5, 2018|W|94|75||Illinois St.
Dec 8, 2018|L|72|84||Colorado
Dec 14, 2018|L|70|90||DePaul
Dec 17, 2018|W|63|57||Incarnate Word
Dec 21, 2018|W|76|55||St. Francis III
Dec 28, 2018|W|75|72 |OT|Wright St.
Dec 30, 2018|L|58|73||N. Kentucky
Jan 4, 2019|L|64|66||IUPUI
Jan 10, 2019|W|78|63||Youngstown St.
Jan 12, 2019|W|73|56||Clev. St.
Jan 17, 2019|L|69|81||Milwaukee
Jan 19, 2019|L|85|90||Green Bay
Jan 24, 2019|W|79|67||Detroit
Jan 26, 2019|L|67|80||Oakland
Feb 1, 2019|W|67|53||Wright St.
Feb 3, 2019|W|69|67||N. Kentucky
Feb 9, 2019|W|76|75||IUPUI
Feb 14, 2019|W|81|77||Clev. St.
Feb 16, 2019|L|73|81||Youngstown St.

Total Points For:|2026
Total Points Against:|2024
Average Points For:|75.037037037
Average Points Against:|74.962962963
Average Point Difference:|0.0740740740741

Win Percentage:|51.8518518519
