Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|74|66||FGCU
Nov 10, 2018|L|89|100||Belmont
Nov 13, 2018|W|75|71||Chicago St.
Nov 19, 2018|L|68|80||Georgia
Nov 20, 2018|W|73|68||Akron
Nov 21, 2018|W|73|70||Boise St.
Nov 24, 2018|W|79|62||
Nov 28, 2018|W|92|89 |OT|BYU
Dec 1, 2018|L|65|75||San Diego St
Dec 5, 2018|L|75|94||Ill.-Chicago
Dec 8, 2018|L|74|81||Ole Miss
Dec 16, 2018|W|88|77 |OT|Clev. St.
Dec 21, 2018|L|56|77||UCF
Jan 2, 2019|L|56|58||Valparaiso
Jan 5, 2019|W|58|46||Evansville
Jan 8, 2019|W|70|69||Northern Iowa
Jan 12, 2019|L|64|67||Loyola-Chi.
Jan 15, 2019|W|59|58||S. Illinois
Jan 19, 2019|W|78|70||Evansville
Jan 23, 2019|L|68|85||Bradley
Jan 27, 2019|W|76|62||Indiana St.
Jan 30, 2019|W|69|55||Drake
Feb 2, 2019|W|65|57||Loyola-Chi.
Feb 5, 2019|L|53|69||Valparaiso
Feb 10, 2019|L|65|66||Missouri St.
Feb 13, 2019|L|64|77||Northern Iowa
Feb 16, 2019|L|59|65||Bradley

Total Points For:|1885
Total Points Against:|1914
Average Points For:|69.8148148148
Average Points Against:|70.8888888889
Average Point Difference:|-1.07407407407

Win Percentage:|51.8518518519
