Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|104|55||Chicago St.
Nov 9, 2018|W|80|35||Montana St.
Nov 14, 2018|W|96|73||Marquette
Nov 18, 2018|L|72|73||Arkansas
Nov 20, 2018|W|78|64||UT-Arlington
Nov 23, 2018|W|76|62||UC Davis
Nov 27, 2018|L|69|90||Duke
Dec 1, 2018|W|68|66||Northwestern
Dec 4, 2018|W|64|62||Penn St.
Dec 8, 2018|W|68|67||Louisville
Dec 15, 2018|W|71|68||Butler
Dec 19, 2018|W|86|53||Cent. Arkansas
Dec 22, 2018|W|94|64||Jacksonville
Jan 3, 2019|W|73|65||Illinois
Jan 6, 2019|L|63|74||Michigan
Jan 11, 2019|L|75|78||Maryland
Jan 14, 2019|L|51|66||Nebraska
Jan 19, 2019|L|55|70||Purdue
Jan 22, 2019|L|66|73||Northwestern
Jan 25, 2019|L|46|69||Michigan
Jan 30, 2019|L|58|66||Rutgers
Feb 2, 2019|W|79|75 |OT|Michigan St.
Feb 7, 2019|L|72|77||Iowa
Feb 10, 2019|L|52|55||Ohio St.
Feb 16, 2019|L|63|84||Minnesota

Total Points For:|1779
Total Points Against:|1684
Average Points For:|71.16
Average Points Against:|67.36
Average Point Difference:|3.8

Win Percentage:|52.0
