Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|69|86||Ball St.
Nov 9, 2018|W|78|74||Green Bay
Nov 14, 2018|W|80|63||McKendree
Nov 24, 2018|W|63|54||W. Kentucky
Nov 28, 2018|W|86|57||San Jose St.
Dec 1, 2018|W|69|63||Wright St.
Dec 5, 2018|L|69|80||North Texas
Dec 8, 2018|W|77|69||Truman St.
Dec 16, 2018|L|70|90||TCU
Dec 22, 2018|W|72|67||Colorado
Dec 23, 2018|W|84|79||UNLV
Dec 25, 2018|L|69|83||TCU
Jan 2, 2019|L|44|79||Loyola-Chi.
Jan 5, 2019|W|65|60||Bradley
Jan 8, 2019|L|57|72||Missouri St.
Jan 12, 2019|W|72|66 |OT|Evansville
Jan 16, 2019|L|64|69||Northern Iowa
Jan 19, 2019|L|67|75||Loyola-Chi.
Jan 23, 2019|W|70|53||Valparaiso
Jan 27, 2019|L|62|76||Illinois St.
Jan 30, 2019|L|73|88||S. Illinois
Feb 2, 2019|L|62|68||Drake
Feb 6, 2019|W|85|62||Evansville
Feb 9, 2019|L|67|96||Bradley
Feb 13, 2019|W|87|82 |OT|Valparaiso
Feb 16, 2019|L|57|79||S. Illinois

Total Points For:|1818
Total Points Against:|1890
Average Points For:|69.9230769231
Average Points Against:|72.6923076923
Average Point Difference:|-2.76923076923

Win Percentage:|50.0
