Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|72|68||Albany
Nov 13, 2018|L|83|90||New Mexico
Nov 19, 2018|L|85|86||LBSU
Nov 21, 2018|W|80|75||Hartford
Nov 24, 2018|L|79|91||Providence
Nov 27, 2018|L|65|89||Ohio
Dec 1, 2018|L|59|88||VCU
Dec 9, 2018|L|71|74||Columbia
Dec 15, 2018|L|81|85||Princeton
Dec 22, 2018|L|84|99||Yale
Dec 30, 2018|L|71|78||Holy Cross
Jan 3, 2019|W|103|84||Monmouth
Jan 5, 2019|W|94|87||Fairfield
Jan 11, 2019|L|90|95||Niagara
Jan 13, 2019|W|88|70||Canisius
Jan 18, 2019|W|90|77||Marist
Jan 20, 2019|L|81|83||Monmouth
Jan 25, 2019|W|77|71||Rider
Jan 27, 2019|L|68|80||Fairfield
Jan 31, 2019|L|74|78||Marist
Feb 2, 2019|L|54|56||Siena
Feb 8, 2019|L|65|66||Quinnipiac
Feb 10, 2019|W|79|76||Niagara
Feb 13, 2019|W|57|52||Siena
Feb 15, 2019|W|62|46||St. Peter&#039;s

Total Points For:|1912
Total Points Against:|1944
Average Points For:|76.48
Average Points Against:|77.76
Average Point Difference:|-1.28

Win Percentage:|40.0
