Date|Win?|Points For|Points Against|OT?|Opponent
Nov 8, 2018|W|77|63||UMKC
Nov 11, 2018|W|93|82||Green Bay
Nov 15, 2018|W|77|69||Oregon
Nov 16, 2018|W|91|72||Connecticut
Nov 21, 2018|W|105|78||Alabama St.
Nov 27, 2018|W|69|68||Pittsburgh
Nov 30, 2018|L|66|72||Wisconsin
Dec 3, 2018|L|68|90||Michigan St.
Dec 6, 2018|W|98|84||Iowa St.
Dec 15, 2018|W|77|54||Northern Iowa
Dec 18, 2018|W|78|60||W. Carolina
Dec 22, 2018|W|110|64||Savannah St.
Dec 29, 2018|W|72|67||Bryant
Jan 3, 2019|L|70|86||Purdue
Jan 6, 2019|W|93|84||Nebraska
Jan 9, 2019|W|73|63||Northwestern
Jan 12, 2019|W|72|62||Ohio St.
Jan 16, 2019|W|89|82||Penn St.
Jan 20, 2019|W|95|71||Illinois
Jan 24, 2019|L|67|82||Michigan St.
Jan 27, 2019|L|87|92||Minnesota
Feb 1, 2019|W|74|59||Michigan
Feb 7, 2019|W|77|72||Indiana
Feb 10, 2019|W|80|79||Northwestern
Feb 16, 2019|W|71|69||Rutgers

Total Points For:|2029
Total Points Against:|1824
Average Points For:|81.16
Average Points Against:|72.96
Average Point Difference:|8.2

Win Percentage:|80.0
