Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|79|53||Alabama St.
Nov 9, 2018|W|76|59||Missouri
Nov 12, 2018|W|85|73||Texas So.
Nov 19, 2018|L|66|71||Arizona
Nov 20, 2018|W|84|68||Illinois
Nov 21, 2018|W|87|57||San Diego St
Nov 26, 2018|W|82|55||Neb.-Omaha
Dec 3, 2018|W|81|59||N. Dakota St.
Dec 6, 2018|L|84|98||Iowa
Dec 9, 2018|W|101|65||Southern U.
Dec 15, 2018|W|77|68||Drake
Dec 21, 2018|W|101|53||E. Illinois
Jan 2, 2019|W|69|63||Oklahoma St.
Jan 5, 2019|W|77|60||Kansas
Jan 8, 2019|L|70|73||Baylor
Jan 12, 2019|L|57|58||Kansas St.
Jan 16, 2019|W|68|64||Texas Tech
Jan 19, 2019|W|72|59||Oklahoma St.
Jan 21, 2019|L|76|80||Kansas
Jan 26, 2019|W|87|73||Ole Miss
Jan 30, 2019|W|93|68||West Virginia
Feb 2, 2019|W|65|60||Texas
Feb 4, 2019|W|75|74||Oklahoma
Feb 9, 2019|L|83|92||TCU
Feb 16, 2019|W|78|64||Kansas St.

Total Points For:|1973
Total Points Against:|1667
Average Points For:|78.92
Average Points Against:|66.68
Average Point Difference:|12.24

Win Percentage:|76.0
