Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|71|96||UCLA
Nov 8, 2018|W|112|51||
Nov 11, 2018|L|61|107||Ohio St.
Nov 13, 2018|W|111|65||
Nov 16, 2018|L|80|91||Dayton
Nov 20, 2018|W|72|68||SC State
Nov 23, 2018|L|66|74||Samford
Nov 25, 2018|W|82|79||Clev. St.
Nov 28, 2018|W|104|60||E. Illinois
Dec 1, 2018|L|73|90||UMKC
Dec 5, 2018|W|68|65||Akron
Dec 8, 2018|L|79|85||Miami (Ohio)
Dec 15, 2018|L|68|95||Austin Peay
Dec 18, 2018|W|87|77||IUPUI
Dec 20, 2018|W|106|45||
Dec 29, 2018|W|84|73||North Dakota
Dec 30, 2018|W|90|87 |OT|North Dakota
Jan 3, 2019|W|104|88||N. Dakota St.
Jan 10, 2019|W|94|69||S. Dak. St.
Jan 13, 2019|L|73|87||Oral Roberts
Jan 19, 2019|L|58|87||South Dakota
Jan 24, 2019|L|79 |85|OT|W. Illinois
Jan 26, 2019|W|91|81||Neb.-Omaha
Jan 30, 2019|W|102|71||Denver
Feb 2, 2019|W|82|81||South Dakota
Feb 7, 2019|W|79|64||Oral Roberts
Feb 14, 2019|W|94|81||W. Illinois
Feb 16, 2019|L|71|74||Denver

Total Points For:|2341
Total Points Against:|2176
Average Points For:|83.6071428571
Average Points Against:|77.7142857143
Average Point Difference:|5.89285714286

Win Percentage:|60.7142857143
