Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|69|82||Xavier
Nov 10, 2018|W|71|65||E. Illinois
Nov 14, 2018|W|76|69||Boston College
Nov 16, 2018|L|70|78||Richmond
Nov 23, 2018|W|68|48||St. Fran.-NY
Nov 24, 2018|W|80|69||Grambling
Nov 28, 2018|W|85|73||Bradley
Dec 1, 2018|L|75|85||Ball St.
Dec 6, 2018|W|95|64||
Dec 12, 2018|W|116|79||
Dec 15, 2018|W|82|68||W. Illinois
Dec 18, 2018|L|77|87||PFW
Dec 21, 2018|L|70|74||Morehead St.
Dec 28, 2018|L|77|92||N. Kentucky
Dec 30, 2018|L|64|72||Wright St.
Jan 4, 2019|W|66|64||Ill.-Chicago
Jan 10, 2019|W|90|74||Clev. St.
Jan 12, 2019|L|76|82||Youngstown St.
Jan 17, 2019|W|76|70||Green Bay
Jan 19, 2019|L|57|64||Milwaukee
Jan 24, 2019|W|73|71||Oakland
Jan 26, 2019|W|80|65||Detroit
Feb 1, 2019|W|83|77||N. Kentucky
Feb 3, 2019|L|74|79||Wright St.
Feb 9, 2019|L|75|76||Ill.-Chicago
Feb 14, 2019|L|73|75||Youngstown St.
Feb 16, 2019|L|86|89||Clev. St.

Total Points For:|2084
Total Points Against:|1991
Average Points For:|77.1851851852
Average Points Against:|73.7407407407
Average Point Difference:|3.44444444444

Win Percentage:|51.8518518519
