Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|66|75||UL-Monroe
Nov 10, 2018|L|36|67||St. Bona.
Nov 16, 2018|L|53|70||Boise St.
Nov 19, 2018|L|60|75||Sam Houston
Nov 20, 2018|W|81|68||Chicago St.
Nov 24, 2018|L|58|76||San Diego
Nov 27, 2018|L|44|87||San Diego St
Nov 29, 2018|L|70|81||Santa Clara
Dec 8, 2018|L|66|69||Pepperdine
Dec 11, 2018|W|77|56||
Dec 15, 2018|L|57|74||Murray St.
Dec 22, 2018|L|72|81||C. Michigan
Dec 29, 2018|W|61|57||Miles Coll.
Jan 5, 2019|W|54|51 |OT|Alabama A&amp;M
Jan 7, 2019|L|57|59||Alabama St.
Jan 12, 2019|W|59|52||Alcorn St.
Jan 14, 2019|W|64|58||Southern U.
Jan 19, 2019|L|51|55||Prairie View
Jan 21, 2019|L|65|75||Texas So.
Jan 26, 2019|W|65|63||Grambling
Feb 2, 2019|W|61|57||Miss Valley St.
Feb 4, 2019|W|65|52||Ark.-Pine Bluff
Feb 9, 2019|L|52|66||Alcorn St.
Feb 11, 2019|L|67|76||Southern U.
Feb 16, 2019|L|66|79||Prairie View

Total Points For:|1527
Total Points Against:|1679
Average Points For:|61.08
Average Points Against:|67.16
Average Point Difference:|-6.08

Win Percentage:|36.0
