Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|L|72|92||Samford
Nov 12, 2018|L|61|76||Penn St.
Nov 14, 2018|L|65|74||Bradley
Nov 20, 2018|W|84|53||W. Carolina
Nov 21, 2018|W|83|78||North Florida
Nov 28, 2018|W|101|61||
Dec 1, 2018|W|76|65||N. Alabama
Dec 8, 2018|W|81|54||Delaware St.
Dec 12, 2018|L|65|69||Wichita St.
Dec 15, 2018|W|55|50||Evansville
Dec 18, 2018|W|64|50||N. Alabama
Dec 22, 2018|L|72|74||West Virginia
Dec 29, 2018|W|109|77||
Jan 3, 2019|W|83|73||Belmont
Jan 5, 2019|W|69|62||Tennessee St.
Jan 10, 2019|W|69|62||E. Illinois
Jan 12, 2019|W|90|54||SIUE
Jan 17, 2019|W|91|80 |OT|Belmont
Jan 19, 2019|W|65|48||Tenn. Tech
Jan 24, 2019|L|70|88||E. Kentucky
Jan 26, 2019|W|77|71||Morehead St.
Jan 31, 2019|W|88|68||Murray St.
Feb 2, 2019|L|71|74||Austin Peay
Feb 7, 2019|L|64|66||UT Martin
Feb 9, 2019|W|81|64||SE Missouri St.
Feb 14, 2019|W|67|57||Tenn. Tech
Feb 16, 2019|W|84|65||Tennessee St.

Total Points For:|2057
Total Points Against:|1805
Average Points For:|76.1851851852
Average Points Against:|66.8518518519
Average Point Difference:|9.33333333333

Win Percentage:|70.3703703704
