Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|86|58||
Nov 9, 2018|W|73|72||East Carolina
Nov 12, 2018|W|82|59||
Nov 16, 2018|W|64|59||Charlotte
Nov 20, 2018|L|82 |91|OT|The Citadel
Nov 23, 2018|L|69|77||Oakland
Nov 24, 2018|W|78|74||N. Illinois
Nov 25, 2018|L|69 |78|OT|Oral Roberts
Nov 29, 2018|W|81|71 |OT|Coppin St.
Dec 1, 2018|L|42|67||Old Dominion
Dec 4, 2018|W|73|66||Radford
Dec 7, 2018|L|53|66||George Mason
Dec 20, 2018|L|48|75||Fordham
Dec 28, 2018|L|74|79||William &amp; Mary
Dec 30, 2018|L|65|68||Elon
Jan 3, 2019|L|83 |86|OT|UNC-Wilm.
Jan 5, 2019|W|69|58||Charleston
Jan 12, 2019|W|74|65||Towson
Jan 17, 2019|L|69|76||Delaware
Jan 19, 2019|L|68|73||Drexel
Jan 24, 2019|L|68|85||Hofstra
Jan 26, 2019|L|68|78||Northeastern
Jan 31, 2019|L|53|70||Charleston
Feb 2, 2019|W|104|95||UNC-Wilm.
Feb 9, 2019|L|59|66||Towson
Feb 14, 2019|W|71|69||Drexel
Feb 16, 2019|W|68|61||Delaware

Total Points For:|1893
Total Points Against:|1942
Average Points For:|70.1111111111
Average Points Against:|71.9259259259
Average Point Difference:|-1.81481481481

Win Percentage:|44.4444444444
