Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|50|65||Florida A&amp;M
Nov 10, 2018|L|82|97||N. Arizona
Nov 12, 2018|L|59|76||Grand Canyon
Nov 16, 2018|L|71|77||SE Missouri St.
Nov 17, 2018|W|71|48||South Alabama
Nov 18, 2018|W|74|66||Chattanooga
Nov 21, 2018|W|123|77||
Nov 24, 2018|L|65|77||W. Carolina
Dec 1, 2018|W|71|69||SC State
Dec 4, 2018|W|94|88||Presbyterian
Dec 8, 2018|W|100|57||Mid Ga St Coll
Dec 15, 2018|W|79|71||Bethune-Cook.
Dec 20, 2018|L|74|100||Notre Dame
Dec 22, 2018|L|64|94||Indiana
Dec 30, 2018|L|67|72||Presbyterian
Jan 5, 2019|L|74|77||Lipscomb
Jan 9, 2019|W|90|70||Kennesaw St.
Jan 12, 2019|L|53|69||Liberty
Jan 16, 2019|L|88|91||N. Alabama
Jan 19, 2019|L|74|77||N.J. Tech
Jan 24, 2019|W|86|81||North Florida
Jan 27, 2019|L|59|69||Liberty
Jan 30, 2019|W|72|57||Stetson
Feb 2, 2019|L|60|73||FGCU
Feb 6, 2019|W|82|73||Kennesaw St.
Feb 9, 2019|L|77|86||Lipscomb
Feb 13, 2019|W|93|70||Stetson

Total Points For:|2052
Total Points Against:|2027
Average Points For:|76.0
Average Points Against:|75.0740740741
Average Point Difference:|0.925925925926

Win Percentage:|44.4444444444
