Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|92|87||Michigan St.
Nov 12, 2018|W|84|68||Vermont
Nov 16, 2018|W|89|76||Louisiana
Nov 21, 2018|W|77|68||Marquette
Nov 23, 2018|W|87|81 |OT|Tennessee
Dec 1, 2018|W|90|84 |OT|Stanford
Dec 4, 2018|W|72|47||Wofford
Dec 8, 2018|W|63|60||N. Mex. St.
Dec 15, 2018|W|74|71||Villanova
Dec 18, 2018|W|89|53||South Dakota
Dec 22, 2018|L|76|80||Arizona St.
Dec 29, 2018|W|87|63||E. Michigan
Jan 2, 2019|W|70|63||Oklahoma
Jan 5, 2019|L|60|77||Iowa St.
Jan 9, 2019|W|77|68||TCU
Jan 12, 2019|W|73|68||Baylor
Jan 14, 2019|W|80|78||Texas
Jan 19, 2019|L|64|65||West Virginia
Jan 21, 2019|W|80|76||Iowa St.
Jan 26, 2019|L|63|71||Kentucky
Jan 29, 2019|L|63|73||Texas
Feb 2, 2019|W|79|63||Texas Tech
Feb 5, 2019|L|67|74||Kansas St.
Feb 9, 2019|W|84|72||Oklahoma St.
Feb 11, 2019|W|82|77 |OT|TCU
Feb 16, 2019|W|78|53||West Virginia

Total Points For:|2000
Total Points Against:|1816
Average Points For:|76.9230769231
Average Points Against:|69.8461538462
Average Point Difference:|7.07692307692

Win Percentage:|76.9230769231
