Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|68|57||
Nov 9, 2018|L|41|56||Kansas St.
Nov 12, 2018|L|60|74||Samford
Nov 16, 2018|L|52|55||Missouri
Nov 17, 2018|L|47|65||Old Dominion
Nov 19, 2018|L|81|100||E. Kentucky
Nov 24, 2018|L|53|91||Belmont
Nov 27, 2018|L|51|84||Georgia
Dec 1, 2018|L|52|78||Hofstra
Dec 13, 2018|L|77 |81|OT|Gardner-Webb
Dec 15, 2018|W|73|68||Tenn. Tech
Dec 18, 2018|L|67|76||Elon
Dec 20, 2018|W|90|72||
Dec 28, 2018|L|57|87||Georgia Tech
Jan 2, 2019|L|65|92||Yale
Jan 5, 2019|L|52|72||N.J. Tech
Jan 9, 2019|L|70|90||Jacksonville
Jan 16, 2019|L|41|62||Liberty
Jan 19, 2019|L|59|72||FGCU
Jan 21, 2019|L|57|86||Lipscomb
Jan 24, 2019|L|71|76||N. Alabama
Jan 30, 2019|W|81|64||North Florida
Feb 2, 2019|L|75|92||Stetson
Feb 6, 2019|L|73|82||Jacksonville
Feb 9, 2019|W|63|62||N.J. Tech
Feb 13, 2019|L|57|80||North Florida
Feb 16, 2019|L|67|83||Lipscomb

Total Points For:|1700
Total Points Against:|2057
Average Points For:|62.962962963
Average Points Against:|76.1851851852
Average Point Difference:|-13.2222222222

Win Percentage:|18.5185185185
