Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|W|83|79||Clev. St.
Nov 13, 2018|W|90|69||
Nov 16, 2018|L|70|77||Liberty
Nov 18, 2018|W|79|48||Alcorn St.
Nov 20, 2018|W|104|84||Savannah St.
Nov 23, 2018|W|77|75||Vanderbilt
Nov 28, 2018|W|76|72||Detroit
Dec 1, 2018|W|78|67||Norfolk St.
Dec 8, 2018|W|83|76||Wright St.
Dec 15, 2018|L|70|83||Louisville
Dec 21, 2018|W|66|63||Oregon St.
Dec 28, 2018|W|70|68||Albany
Dec 31, 2018|W|71|48||
Jan 5, 2019|L|64|86||Bowling Green
Jan 8, 2019|W|88|73||W. Michigan
Jan 12, 2019|L|61|95||E. Michigan
Jan 15, 2019|W|66|52||Ohio
Jan 19, 2019|W|78|68||N. Illinois
Jan 22, 2019|W|87|85 |OT|Toledo
Jan 25, 2019|L|79|88||Buffalo
Feb 2, 2019|W|83|80 |OT|W. Michigan
Feb 5, 2019|W|70|67||W. Michigan
Feb 8, 2019|L|53|72||Ball St.
Feb 14, 2019|W|82|63||Miami (Ohio)
Feb 16, 2019|W|71|58||Akron

Total Points For:|1899
Total Points Against:|1796
Average Points For:|75.96
Average Points Against:|71.84
Average Point Difference:|4.12

Win Percentage:|76.0
