Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|L|86 |93|OT|St. Peter&#039;s
Nov 10, 2018|W|77|76||La Salle
Nov 13, 2018|L|61|91||Penn
Nov 18, 2018|L|72|84||St. Fran.-NY
Nov 25, 2018|W|80|76||F. Dickinson
Nov 28, 2018|L|58 |63|OT|Cornell
Dec 2, 2018|L|62|64||Sacred Heart
Dec 5, 2018|L|63|90||Connecticut
Dec 8, 2018|L|77|88||Quinnipiac
Dec 19, 2018|W|95|54||Rosemont College
Dec 21, 2018|L|79|81||Princeton
Jan 2, 2019|L|83|86||Lehigh
Jan 5, 2019|L|69|77||Army
Jan 9, 2019|W|85|70||Loyola-Md.
Jan 12, 2019|L|70|77||Holy Cross
Jan 16, 2019|L|77|85||Navy
Jan 19, 2019|W|84|79 |OT|American
Jan 23, 2019|L|47|57||Colgate
Jan 26, 2019|L|63|69||Army
Jan 30, 2019|L|86 |93|OT|Lehigh
Feb 2, 2019|L|66|94||Bucknell
Feb 6, 2019|W|79|72||Boston U.
Feb 10, 2019|W|69|67||Holy Cross
Feb 13, 2019|W|80|74||Navy
Feb 17, 2019|W|69|64||Loyola-Md.

Total Points For:|1837
Total Points Against:|1924
Average Points For:|73.48
Average Points Against:|76.96
Average Point Difference:|-3.48

Win Percentage:|36.0
