Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|79|59||
Nov 9, 2018|L|69|88||Georgia Tech
Nov 11, 2018|L|78 |84|OT|East Carolina
Nov 17, 2018|W|74|67||Prairie View
Nov 19, 2018|W|105|40||
Nov 23, 2018|L|75|77||UT-Rio Grande Valley
Nov 27, 2018|L|65|79||SMU
Dec 1, 2018|W|75|68||Rice
Dec 4, 2018|L|56|79||Houston
Dec 13, 2018|L|65|86||Cal-Baker.
Dec 19, 2018|W|80|72||Texas So.
Dec 21, 2018|W|121|32||
Dec 29, 2018|W|122|58||
Jan 2, 2019|L|82 |88|OT|Houston Bap.
Jan 5, 2019|W|61|55||Texas A&amp;M-CC
Jan 9, 2019|L|71 |78|OT|New Orleans
Jan 12, 2019|L|68|75||Cent. Arkansas
Jan 16, 2019|L|69|76||SE Louisiana
Jan 23, 2019|W|87|81 |OT|Incarnate Word
Jan 26, 2019|L|59|69||Sam Houston
Jan 30, 2019|W|90|69||Nicholls St.
Feb 2, 2019|W|84|75||McNeese St.
Feb 6, 2019|L|64|75||Abil Christian
Feb 9, 2019|W|82|67||SF Austin
Feb 13, 2019|W|75|70||Northwestern St.
Feb 16, 2019|W|75|72||Sam Houston

Total Points For:|2031
Total Points Against:|1839
Average Points For:|78.1153846154
Average Points Against:|70.7307692308
Average Point Difference:|7.38461538462

Win Percentage:|53.8461538462
