Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|75|66||Jackson St.
Nov 10, 2018|W|94|52||
Nov 12, 2018|L|55|65||Texas
Nov 14, 2018|L|59|80||Michigan St.
Nov 23, 2018|L|73|79||Tenn. Tech
Nov 27, 2018|W|80|52||Northwestern St.
Dec 1, 2018|L|60|83||Ole Miss
Dec 11, 2018|W|72|67||Grambling
Dec 15, 2018|W|74|58||SF Austin
Dec 18, 2018|W|95|68||Nicholls St.
Dec 21, 2018|W|80|63||Coppin St.
Dec 28, 2018|L|69|81||LSU
Jan 3, 2019|W|97|84||Little Rock
Jan 5, 2019|W|85|75||Arkansas St.
Jan 10, 2019|L|78|79||Ga. Southern
Jan 12, 2019|L|73|74||Georgia St.
Jan 19, 2019|W|99|95||Louisiana
Jan 24, 2019|W|75|69||Troy
Jan 26, 2019|L|72|78||South Alabama
Jan 31, 2019|L|81|92||Coastal Carolina
Feb 2, 2019|L|84|85||App. St.
Feb 6, 2019|W|82|76||Georgia St.
Feb 8, 2019|W|88|79||Ga. Southern
Feb 16, 2019|L|76|83||Louisiana

Total Points For:|1876
Total Points Against:|1783
Average Points For:|78.1666666667
Average Points Against:|74.2916666667
Average Point Difference:|3.875

Win Percentage:|54.1666666667
