Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|71|58||Wichita St.
Nov 11, 2018|W|76|69||Sam Houston
Nov 13, 2018|W|89|58||Harding
Nov 16, 2018|L|67|74||LSU
Nov 20, 2018|W|87|68||
Nov 24, 2018|L|73|80||UNC-Green.
Nov 26, 2018|L|71|75||Delaware
Dec 1, 2018|W|85|78||Houston Bap.
Dec 4, 2018|W|82|68||Prairie View
Dec 7, 2018|W|96|93 |OT|SF Austin
Dec 11, 2018|W|96|80||Miss Valley St.
Dec 15, 2018|W|83|62||Louisiana
Dec 22, 2018|W|73|68||Texas A&amp;M-CC
Dec 29, 2018|W|71|56||So. Miss
Jan 3, 2019|L|59|63||North Texas
Jan 5, 2019|L|66|78||Rice
Jan 10, 2019|W|64|53||UAB
Jan 12, 2019|W|73|56||Middle Tenn.
Jan 17, 2019|L|63|64||Old Dominion
Jan 19, 2019|L|40|55||Charlotte
Jan 24, 2019|W|89|80 |OT|Marshall
Jan 26, 2019|W|62|50||W. Kentucky
Jan 31, 2019|L|61|69||FAU
Feb 2, 2019|L|69|75||FIU
Feb 9, 2019|L|71 |73|OT|So. Miss
Feb 14, 2019|W|71|57||UTEP
Feb 16, 2019|W|72|67||UT-San Antonio

Total Points For:|1980
Total Points Against:|1827
Average Points For:|73.3333333333
Average Points Against:|67.6666666667
Average Point Difference:|5.66666666667

Win Percentage:|62.962962963
