Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|85|61||Monmouth
Nov 9, 2018|L|62|83||Miami (Fla.)
Nov 13, 2018|W|78|72||Marist
Nov 16, 2018|W|72|57||Princeton
Nov 21, 2018|W|80|69||Siena
Nov 24, 2018|L|58|77||Kansas St.
Dec 1, 2018|W|82|70||Arkansas St.
Dec 5, 2018|L|87|97||Yale
Dec 8, 2018|W|85|78||Mt St Mary&#039;s
Dec 22, 2018|W|88|76||St. Fran.-Pa.
Dec 30, 2018|L|68|78||West Virginia
Jan 2, 2019|W|86|83||Lafayette
Jan 6, 2019|W|89|72||Loyola-Md.
Jan 9, 2019|W|99|94 |OT|Holy Cross
Jan 12, 2019|L|78|91||Colgate
Jan 16, 2019|W|83|76||American
Jan 19, 2019|L|83|85||Bucknell
Jan 23, 2019|W|85|74||Navy
Jan 26, 2019|W|94|78||Boston U.
Jan 30, 2019|W|93|86 |OT|Lafayette
Feb 2, 2019|W|75|70||Army
Feb 4, 2019|L|62|84||Colgate
Feb 9, 2019|W|83|57||Navy
Feb 11, 2019|L|75|87||Bucknell
Feb 16, 2019|W|84|79||Boston U.

Total Points For:|2014
Total Points Against:|1934
Average Points For:|80.56
Average Points Against:|77.36
Average Point Difference:|3.2

Win Percentage:|68.0
