Date|Win?|Points For|Points Against|OT?|Opponent
Nov 8, 2018|W|89|40||Maine-Fort Kent
Nov 13, 2018|W|93|40||
Nov 16, 2018|W|77|70||Kent St.
Nov 19, 2018|L|70|79||Vanderbilt
Nov 23, 2018|W|76|54||Alcorn St.
Nov 25, 2018|W|82|56||Savannah St.
Nov 28, 2018|W|76|58||Navy
Dec 1, 2018|W|78|52||Georgia St.
Dec 3, 2018|L|78|88||Georgetown
Dec 11, 2018|W|79|55||SC State
Dec 15, 2018|W|96|55||Ky. Christian
Dec 18, 2018|L|75|84||Alabama
Dec 21, 2018|W|73|55||Alabama St.
Dec 22, 2018|L|66|75||Austin Peay
Dec 29, 2018|W|73|58||UCLA
Jan 5, 2019|W|81|63||FGCU
Jan 9, 2019|W|71|53||Stetson
Jan 12, 2019|W|69|53||Jacksonville
Jan 16, 2019|W|62|41||Kennesaw St.
Jan 19, 2019|W|70|64||North Florida
Jan 21, 2019|W|72|47||N. Alabama
Jan 27, 2019|W|69|59||Jacksonville
Jan 29, 2019|L|59|79||Lipscomb
Feb 2, 2019|W|77|57||N.J. Tech
Feb 5, 2019|W|57|54||Stetson
Feb 9, 2019|W|74|67||FGCU
Feb 13, 2019|W|74|66||Lipscomb
Feb 16, 2019|W|80|70||N. Alabama

Total Points For:|2096
Total Points Against:|1692
Average Points For:|74.8571428571
Average Points Against:|60.4285714286
Average Point Difference:|14.4285714286

Win Percentage:|82.1428571429
