Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|109|76||New Rochelle
Nov 9, 2018|W|83|81||Brown
Nov 13, 2018|W|89|87||Fairfield
Nov 18, 2018|L|52|84||San Fran.
Nov 20, 2018|L|87 |92|OT|Milwaukee
Nov 24, 2018|L|70|77||N.J. Tech
Nov 29, 2018|W|80|77||Albany
Nov 30, 2018|L|53|70||Marist
Dec 8, 2018|W|74|58||St. Peter&#039;s
Dec 12, 2018|L|79|83||Stony Brook
Dec 21, 2018|L|67|68||Binghamton
Dec 30, 2018|W|60|57||Fordham
Jan 3, 2019|L|75|79||Sacred Heart
Jan 5, 2019|W|79|70||Bryant
Jan 10, 2019|L|67|74||St. Fran.-Pa.
Jan 12, 2019|W|80|73||Robert Morris
Jan 19, 2019|W|79|77||F. Dickinson
Jan 21, 2019|L|70|79||St. Fran.-NY
Jan 24, 2019|L|72|74||Mt St Mary&#039;s
Jan 26, 2019|W|84|71||CCSU
Jan 31, 2019|L|77|80||F. Dickinson
Feb 2, 2019|L|59|71||Wagner
Feb 7, 2019|W|77|62||Mt St Mary&#039;s
Feb 9, 2019|L|65|68||Wagner
Feb 14, 2019|L|76|83||St. Fran.-NY
Feb 16, 2019|W|92|84||Sacred Heart

Total Points For:|1955
Total Points Against:|1955
Average Points For:|75.1923076923
Average Points Against:|75.1923076923
Average Point Difference:|0.0

Win Percentage:|46.1538461538
