Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|L|80|91||UCLA
Nov 10, 2018|W|78|57||
Nov 12, 2018|L|58|90||Arizona St.
Nov 16, 2018|L|51|79||Miss. State
Nov 19, 2018|W|86|85||Iona
Nov 21, 2018|L|72|87||Utah Valley
Nov 25, 2018|L|72|75||Oregon St.
Nov 28, 2018|L|65|75||USC
Dec 1, 2018|L|70|74||San Diego
Dec 5, 2018|W|82|71||So. Utah
Dec 8, 2018|L|71|92||Fresno St.
Dec 10, 2018|L|68|74||Pacific
Dec 20, 2018|W|67|66||Pepperdine
Dec 22, 2018|W|64|61||Colorado St.
Dec 29, 2018|L|86|93||Stanford
Jan 5, 2019|W|124|52||Bethesda
Jan 12, 2019|W|82|77||UC Davis
Jan 16, 2019|W|80|70||UC Irvine
Jan 19, 2019|L|90 |92|OT|CSFullerton
Jan 23, 2019|L|71|86||CSNorthridge 
Jan 26, 2019|L|71|82||UCSB
Feb 1, 2019|L|57|74||Hawaii
Feb 2, 2019|L|80|82||UC Irvine
Feb 7, 2019|L|70|77||Hawaii
Feb 9, 2019|W|76|68 |OT|Cal Poly
Feb 13, 2019|L|82|85||CSFullerton
Feb 16, 2019|L|73|77||UC Davis

Total Points For:|2026
Total Points Against:|2092
Average Points For:|75.037037037
Average Points Against:|77.4814814815
Average Point Difference:|-2.44444444444

Win Percentage:|33.3333333333
