Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|84|56||
Nov 9, 2018|W|63|58||Richmond
Nov 13, 2018|W|66|63||Md.-E. Shore
Nov 16, 2018|W|89|73||Delaware St.
Nov 19, 2018|L|39|42||Charlotte
Nov 23, 2018|W|67|65||Fairfield
Nov 24, 2018|L|62|64||Denver
Nov 25, 2018|L|50|70||Seattle
Dec 1, 2018|W|65|45||VMI
Dec 7, 2018|W|68|65||
Dec 9, 2018|L|71|80||Duquesne
Dec 13, 2018|W|81|57||
Dec 17, 2018|L|64|70||Cornell
Dec 21, 2018|W|77|63||Stetson
Dec 29, 2018|W|110|94||The Citadel
Jan 5, 2019|L|64|71||Radford
Jan 10, 2019|W|67|62||UNC-Ash.
Jan 12, 2019|L|91|101||Charleston So.
Jan 16, 2019|W|75|61||Winthrop
Jan 19, 2019|L|64|71||Presbyterian
Jan 21, 2019|L|59|72||Radford
Jan 24, 2019|W|55|51||High Point
Jan 26, 2019|L|63|80||SC Upstate
Jan 30, 2019|L|83|96||Hampton
Feb 2, 2019|L|62|83||Campbell
Feb 7, 2019|L|86 |89|OT|Gardner-Webb
Feb 13, 2019|W|62|59||High Point
Feb 16, 2019|W|83|79 |OT|SC Upstate

Total Points For:|1970
Total Points Against:|1940
Average Points For:|70.3571428571
Average Points Against:|69.2857142857
Average Point Difference:|1.07142857143

Win Percentage:|53.5714285714
