Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|76|45||UMKC
Nov 9, 2018|L|58|60||Furman
Nov 14, 2018|W|75|62||Niagara
Nov 16, 2018|W|80|64||Grambling
Nov 19, 2018|W|82|66||Richmond
Nov 21, 2018|L|66|78||Boston College
Nov 27, 2018|L|65|79||Nevada
Dec 1, 2018|W|73|64||Ill.-Chicago
Dec 5, 2018|L|69|75||Ball St.
Dec 8, 2018|L|41|55||Maryland
Dec 16, 2018|W|80|49||Norfolk St.
Dec 18, 2018|W|75|47||
Dec 22, 2018|L|42|45||Saint Joseph&#039;s
Jan 2, 2019|W|79|44||Indiana St.
Jan 5, 2019|W|85|74||Drake
Jan 8, 2019|L|48|67||Evansville
Jan 12, 2019|W|67|64||Illinois St.
Jan 15, 2019|W|71|54||Valparaiso
Jan 19, 2019|W|75|67||Indiana St.
Jan 23, 2019|L|35|70||Missouri St.
Jan 27, 2019|W|75|50||S. Illinois
Jan 30, 2019|W|61|60||Northern Iowa
Feb 2, 2019|L|57|65||Illinois St.
Feb 5, 2019|W|86|64||Drake
Feb 10, 2019|W|56|51||Valparaiso
Feb 13, 2019|L|54|61||Bradley
Feb 17, 2019|L|61|65||Missouri St.

Total Points For:|1792
Total Points Against:|1645
Average Points For:|66.3703703704
Average Points Against:|60.9259259259
Average Point Difference:|5.44444444444

Win Percentage:|59.2592592593
