Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|55|76||St. John&#039;s
Nov 11, 2018|L|80|82||Dartmouth
Nov 13, 2018|W|91|62||Delaware St.
Nov 16, 2018|L|67|81||Temple
Nov 19, 2018|L|63|91||Detroit
Nov 20, 2018|W|75|66||Hampton
Nov 25, 2018|L|72|82||Towson
Dec 1, 2018|W|75|65||Mt St Mary&#039;s
Dec 5, 2018|L|86|95||Drexel
Dec 8, 2018|W|83|65||Binghamton
Dec 11, 2018|L|71|94||Maryland
Dec 21, 2018|L|79|97||UMass Lowell
Dec 28, 2018|L|64|97||NC State
Jan 3, 2019|L|73|80||Holy Cross
Jan 6, 2019|L|72|89||Lehigh
Jan 9, 2019|L|70|85||Lafayette
Jan 12, 2019|W|66|64||Army
Jan 16, 2019|W|81|73 |OT|Boston U.
Jan 19, 2019|W|67|65 |OT|Holy Cross
Jan 23, 2019|L|68|71||Bucknell
Jan 26, 2019|W|79|72 |OT|Colgate
Jan 30, 2019|L|68|74||American
Feb 2, 2019|L|68|71||Navy
Feb 6, 2019|L|72|84||Bucknell
Feb 9, 2019|L|72|75||Colgate
Feb 13, 2019|W|86|84||American
Feb 17, 2019|L|64|69||Lafayette

Total Points For:|1967
Total Points Against:|2109
Average Points For:|72.8518518519
Average Points Against:|78.1111111111
Average Point Difference:|-5.25925925926

Win Percentage:|33.3333333333
