Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|75|43||Westcliff
Nov 10, 2018|W|61|50||UNLV
Nov 13, 2018|W|79|64||CSNorthridge 
Nov 16, 2018|W|65|52||Georgetown
Nov 18, 2018|W|65|56||Ohio
Nov 21, 2018|W|76|74||CCSU
Nov 24, 2018|W|71|63||Florida A&amp;M
Nov 29, 2018|W|106|50||Bethesda
Dec 2, 2018|L|58|82||UCLA
Dec 5, 2018|W|59|49||CSFullerton
Dec 15, 2018|W|85|58||Portland St.
Dec 19, 2018|W|70|69||Boise St.
Dec 22, 2018|L|53|60||UC Riverside
Dec 28, 2018|W|77|59||UC Davis
Jan 3, 2019|L|62|77||Pepperdine
Jan 5, 2019|W|76|64||Portland
Jan 12, 2019|L|60|71||Saint Mary&#039;s
Jan 17, 2019|L|55|73||Gonzaga
Jan 19, 2019|W|74|70||Pepperdine
Jan 24, 2019|L|58|71||San Diego
Jan 26, 2019|W|69|61||Santa Clara
Jan 31, 2019|W|60|42||Pacific
Feb 2, 2019|L|49|67||BYU
Feb 7, 2019|L|63|65||San Diego
Feb 9, 2019|W|72|55||Portland
Feb 14, 2019|L|60|73||Gonzaga
Feb 16, 2019|L|62|70||BYU

Total Points For:|1820
Total Points Against:|1688
Average Points For:|67.4074074074
Average Points Against:|62.5185185185
Average Point Difference:|4.88888888889

Win Percentage:|62.962962963
