Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|97|53||
Nov 10, 2018|W|86|79||Tennessee St.
Nov 15, 2018|L|83|87||Belmont
Nov 17, 2018|W|79|73||SMU
Nov 20, 2018|W|73|64||TCU
Nov 25, 2018|W|87|55||Morehead St.
Dec 1, 2018|W|84|74||Middle Tenn.
Dec 4, 2018|L|74|76||Belmont
Dec 9, 2018|W|107|81||Navy
Dec 12, 2018|L|68|72||Louisville
Dec 17, 2018|W|119|48||
Dec 21, 2018|W|91|66||Vermont
Dec 30, 2018|L|67|84||Clemson
Jan 5, 2019|W|77|74||Jacksonville
Jan 9, 2019|W|81|66||North Florida
Jan 12, 2019|W|95|71||Stetson
Jan 16, 2019|W|70|52||N.J. Tech
Jan 21, 2019|W|86|57||Kennesaw St.
Jan 24, 2019|W|89|81||FGCU
Jan 27, 2019|W|88|65||Stetson
Jan 29, 2019|W|79|59||Liberty
Feb 2, 2019|W|102|80||N. Alabama
Feb 6, 2019|W|92|55||North Florida
Feb 9, 2019|W|86|77||Jacksonville
Feb 13, 2019|L|66|74||Liberty
Feb 16, 2019|W|83|67||Kennesaw St.

Total Points For:|2209
Total Points Against:|1790
Average Points For:|84.9615384615
Average Points Against:|68.8461538462
Average Point Difference:|16.1153846154

Win Percentage:|80.7692307692
