Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|94|63||SE Louisiana
Nov 9, 2018|W|97|91||UNC-Green.
Nov 13, 2018|W|85|76||Memphis
Nov 16, 2018|W|74|67||Louisiana Tech
Nov 22, 2018|W|67|55||Charleston
Nov 23, 2018|L|76 |79|OT|Florida St.
Nov 25, 2018|L|77|90||Oklahoma St.
Dec 1, 2018|W|78|57||Grambling
Dec 9, 2018|W|91|50||Incarnate Word
Dec 12, 2018|L|76|82||Houston
Dec 15, 2018|W|78|74||Saint Mary&#039;s
Dec 21, 2018|W|75|57||Furman
Dec 28, 2018|W|81|69||UL-Monroe
Jan 8, 2019|W|88|79||Alabama
Jan 12, 2019|W|94|88 |OT|Arkansas
Jan 15, 2019|W|83|69||Ole Miss
Jan 19, 2019|W|89|67||South Carolina
Jan 23, 2019|W|92|82||Georgia
Jan 26, 2019|W|86|80 |OT|Missouri
Jan 30, 2019|W|72|57||Texas A&amp;M
Feb 2, 2019|L|89|90||Arkansas
Feb 6, 2019|W|92|88 |OT|Miss. State
Feb 9, 2019|W|83|78||Auburn
Feb 12, 2019|W|73|71||Kentucky
Feb 16, 2019|W|83|79||Georgia

Total Points For:|2073
Total Points Against:|1838
Average Points For:|82.92
Average Points Against:|73.52
Average Point Difference:|9.4

Win Percentage:|84.0
