Date|Win?|Points For|Points Against|OT?|Opponent
Nov 8, 2018|W|85|72||Nicholls St.
Nov 13, 2018|W|104|54||Southern U.
Nov 16, 2018|W|86|78||Vermont
Nov 21, 2018|L|81|92||Tennessee
Nov 23, 2018|L|74 |77|OT|Marquette
Nov 27, 2018|W|82|78 |OT|Michigan St.
Dec 1, 2018|W|70|65||Seton Hall
Dec 5, 2018|W|86|41||Cent. Arkansas
Dec 8, 2018|L|67|68||Indiana
Dec 12, 2018|W|72|68||Lipscomb
Dec 15, 2018|W|83|70||Kent St.
Dec 21, 2018|W|73|59||Robert Morris
Dec 29, 2018|L|58|71||Kentucky
Jan 6, 2019|W|90|73||Miami (Fla.)
Jan 9, 2019|L|86 |89|OT|Pittsburgh
Jan 12, 2019|W|83|62||North Carolina
Jan 16, 2019|W|80|70||Boston College
Jan 19, 2019|W|79|51||Georgia Tech
Jan 24, 2019|W|84|77||NC State
Jan 26, 2019|W|66|51||Pittsburgh
Jan 30, 2019|W|82|54||Wake Forest
Feb 2, 2019|L|69|79||North Carolina
Feb 4, 2019|W|72|64||Virginia Tech
Feb 9, 2019|L|75 |80|OT|Florida St.
Feb 12, 2019|L|69|71||Duke
Feb 16, 2019|W|56|55||Clemson

Total Points For:|2012
Total Points Against:|1769
Average Points For:|77.3846153846
Average Points Against:|68.0384615385
Average Point Difference:|9.34615384615

Win Percentage:|69.2307692308
