Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|50|62||Denver
Nov 8, 2018|L|61|75||Utah
Nov 10, 2018|L|50|93||San Fran.
Nov 17, 2018|L|63|82||NC State
Nov 20, 2018|L|63 |74|OT|North Texas
Nov 25, 2018|L|50|58||Quinnipiac
Nov 28, 2018|L|59|73||Princeton
Dec 1, 2018|L|59 |63|OT|St. Peter&#039;s
Dec 4, 2018|W|75|68 |OT|Fordham
Dec 8, 2018|L|52|78||Dartmouth
Dec 10, 2018|W|98|43||
Dec 16, 2018|L|46|72||Duquesne
Dec 22, 2018|L|90 |93|OT|CCSU
Dec 29, 2018|L|55|70||Rutgers
Jan 2, 2019|L|67|75||Brown
Jan 5, 2019|L|52|61||UMBC
Jan 9, 2019|L|49|73||Vermont
Jan 12, 2019|W|66|62||Albany
Jan 16, 2019|L|76|77||Hartford
Jan 19, 2019|L|61|64||Stony Brook
Jan 26, 2019|L|66|78||Binghamton
Jan 30, 2019|W|78|59||UMass Lowell
Feb 3, 2019|W|62|53||New Hamp.
Feb 6, 2019|L|63|86||Vermont
Feb 10, 2019|L|66|67||UMBC
Feb 13, 2019|L|73|81||Hartford
Feb 17, 2019|L|54|63||Albany

Total Points For:|1704
Total Points Against:|1903
Average Points For:|63.1111111111
Average Points Against:|70.4814814815
Average Point Difference:|-7.37037037037

Win Percentage:|18.5185185185
