Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|56|62||Elon
Nov 12, 2018|L|52|75||UMBC
Nov 16, 2018|W|55|53||Coastal Carolina
Nov 17, 2018|L|53|59||N. Kentucky
Nov 18, 2018|W|54|38||UNC-Ash.
Nov 24, 2018|L|43|70||George Wash.
Dec 1, 2018|L|56|57||Fordham
Dec 5, 2018|L|62|69||Stony Brook
Dec 10, 2018|L|50|80||Hofstra
Dec 15, 2018|L|46|61||Connecticut
Dec 20, 2018|L|67|77||Albany
Dec 23, 2018|L|56|72||St. Fran.-NY
Jan 3, 2019|L|59|63||Quinnipiac
Jan 5, 2019|W|90|80||Niagara
Jan 8, 2019|L|63|78||Marist
Jan 12, 2019|L|49|65||Monmouth
Jan 17, 2019|W|58|56||St. Peter&#039;s
Jan 19, 2019|L|47|60||Rider
Jan 21, 2019|L|46|62||Marist
Jan 26, 2019|L|40|53||Siena
Jan 31, 2019|W|62|49||Fairfield
Feb 2, 2019|W|64|50||St. Peter&#039;s
Feb 5, 2019|W|73|66||Rider
Feb 8, 2019|L|49|51||Siena
Feb 15, 2019|W|64|60||Niagara
Feb 17, 2019|W|70|65||Canisius

Total Points For:|1484
Total Points Against:|1631
Average Points For:|57.0769230769
Average Points Against:|62.7307692308
Average Point Difference:|-5.65384615385

Win Percentage:|34.6153846154
