Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|67|42||UMBC
Nov 10, 2018|W|92|59||Bethune-Cook.
Nov 14, 2018|L|73|96||Indiana
Nov 17, 2018|W|74|55||Presbyterian
Nov 21, 2018|L|68|77||Kansas
Nov 23, 2018|W|77|74 |OT|Louisville
Nov 27, 2018|W|76|55||Charleston So.
Dec 1, 2018|W|83|71||Kansas St.
Dec 4, 2018|W|76|69||UTEP
Dec 8, 2018|W|74|69 |OT|Wisconsin
Dec 18, 2018|W|92|66||North Dakota
Dec 21, 2018|W|103|85||Buffalo
Dec 28, 2018|W|84|41||Southern U.
Jan 1, 2019|L|69|89||St. John&#039;s
Jan 6, 2019|W|70|52||Xavier
Jan 9, 2019|W|106|104 |OT|Creighton
Jan 12, 2019|W|70|66||Seton Hall
Jan 15, 2019|W|74|71||Georgetown
Jan 20, 2019|W|79|68||Providence
Jan 23, 2019|W|79|69||DePaul
Jan 26, 2019|W|87|82||Xavier
Jan 30, 2019|W|76|58||Butler
Feb 5, 2019|L|69|70||St. John&#039;s
Feb 9, 2019|W|66|65||Villanova
Feb 12, 2019|W|92|73||DePaul

Total Points For:|1976
Total Points Against:|1726
Average Points For:|79.04
Average Points Against:|69.04
Average Point Difference:|10.0

Win Percentage:|84.0
