Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|87|65||McNeese St.
Nov 11, 2018|W|92|63||Utah Valley
Nov 14, 2018|W|73|58||N. Mex. St.
Nov 19, 2018|L|63|80||Utah St.
Nov 21, 2018|L|57|61||Miss. State
Nov 24, 2018|L|68|74||Harvard
Nov 28, 2018|L|75|80||UC Irvine
Dec 1, 2018|W|84|71||California
Dec 4, 2018|W|93|61||Bethune-Cook.
Dec 7, 2018|W|85|60||New Mexico
Dec 10, 2018|W|81|66||CSFullerton
Dec 15, 2018|L|74|78||LSU
Dec 19, 2018|W|85|56||Bucknell
Dec 22, 2018|L|68|71||W. Kentucky
Dec 29, 2018|W|75|45||San Jose St.
Jan 3, 2019|L|72|76||San Fran.
Jan 5, 2019|W|88|66||BYU
Jan 12, 2019|W|71|60||LMU
Jan 17, 2019|W|75|55||Santa Clara
Jan 19, 2019|W|76|59||San Diego
Jan 24, 2019|L|66|71||BYU
Jan 26, 2019|L|77 |84|OT|Pepperdine
Feb 2, 2019|W|86|80||San Fran.
Feb 7, 2019|W|78|66||Pacific
Feb 9, 2019|L|46|94||Gonzaga
Feb 14, 2019|W|66|55||Santa Clara
Feb 16, 2019|W|72|65||Pepperdine

Total Points For:|2033
Total Points Against:|1820
Average Points For:|75.2962962963
Average Points Against:|67.4074074074
Average Point Difference:|7.88888888889

Win Percentage:|62.962962963
